"ngram","frequency","rater1","rater2"
"account·for·",169,5,3
"be·displayed·",70,6,3
"of·real·",246,2,3
"a·net·",164,6,3
"the·Water·",86,6,3
"NUM·-·NUM·years·",319,5,3
"found·dead·",59,5,4
"of·animal·",113,2,3
"a·sports·",148,2,4
"removal·of·",140,2,3
"millions·of·dollars·",81,5,4
"he·added·that·",60,4,4
"kept·him·",65,5,4
"the·Seattle·",146,2,4
"the·stars·",190,6,4
"of·the·Eastern·",152,3,4
"NUM·Rugby·",73,2,4
"for·more·than·NUM·years·",173,5,4
"the·elementary·",75,2,4
"was·mounted·",59,5,3
"the·term·",2331,6,4
"referendum·on·",95,5,4
"the·Ottoman·",244,6,4
"is·commemorated·",67,5,4
"objects·of·",106,2,3
"Coca·-·Cola·",138,6,4
"Lieutenant·General·",77,6,4
"the·royal·court·",62,6,4
"recent·history·",86,5,4
"the·distinction·",66,6,4
"dependent·on·",210,5,3
"was·maintained·",64,6,3
"reported·on·",150,2,3
"dozens·of·",289,2,3
