"ngram","fc","rc"
"chief·medical·officer.·",0,14
"chief·medical·officer·and·head·of·global·",0,32
"chief·operating·officer·of·",0,24
"chief·scientific·officer·",0,114
"children·and·",60,160
"children·are·",29,16
"children·who·",16,22
"China·Daily·",71,46
"China·Daily·Information·",34,22
"China·Daily·Information·Co·",34,22
"choice·of·",71,48
"chose·to·",89,24
"chosen·to·",58,0
"Chronicle·&·",292,200
"Church·Street·",0,22
"citizens·as·",14,0
"city·centre·",0,66
"City·Council·",41,0
"claimed·to·",23,20
"claimed·yesterday.·",23,0
"claims·are·",13,14
"claims·he·",26,14
"claims·of·",56,18
"clamp·down·on·",13,0
"clash·with·",21,0
"class·of·",0,122
"clear·and·",54,16
"clear·the·",99,50
"clear·the·",16,0
"click·on·",15,18
"clicking·on·sign·in'·(top·right·corner).·",15,300
"clicking·on·sign·in'·(top·right·corner).·You·can·",15,300
"clinical·development·",0,32
"clinical·studies·in·",0,22
"Clinical·trials·",0,22
"close·and·",0,16
"closely·with·the·",34,108
"cocaine·and·",0,24
"cohort·of·",0,14
"coincides·with·",14,0
"collaborating·with·",0,54
"collaboration·to·develop·",0,20
"colleagues·to·",39,0
"collision·involving·a·",0,78
"COLUMN;·Pg.·13·",14,0
"COLUMNS;·Pg.·",0,92
"COLUMNS;·Pg.·13·",0,32
"combat·the·",0,14
"combined·with·",0,128
"come·and·",49,14
"come·forward·",32,90
"come·up·with·",115,0
"comes·a·",21,14
"coming·from·",98,52
"coming·months.·",36,28
"coming·to·",186,52
"Commenting·on·the·",39,68
"commercial·and·",0,26
"commercialization·rights·in·",0,24
"Commission·in·",16,26
"Commission·president·Jean-Claude·",42,0
"Commissioner·for·",25,0
"Committee·chair·",13,0
"Committee·of·",18,18
"Commons·committee·",19,0
"companies·are·",124,170
"companies·in·",118,134
"companies·that·",69,70
"companies·will·",60,128
"company·had·",20,52
"company·is·",66,254
"company·said·it·",16,18
"company·says·it·",0,32
"compared·to·the·same·",16,30
"comparing·the·",14,18
"comparison·of·",0,22
"compatible·with·",14,0
"competition·for·",18,16
"competitive·advantage·",13,0
"completed·by·",15,30
"completed·in·",23,62
"completed·in·",23,0
"Completion·of·",0,14
"compound·annual·growth·rate·",0,110
"concentration·of·",14,0
"concern·over·the·",21,0
"concerns·for·",21,22
"concerns·that·",123,20
"concluded·that·",44,0
"concluded·that·the·",0,34
"conclusion·of·",0,36
"conditions·for·",42,0
"conduct·of·",14,36
"conducted·by·",51,86
"conducting·a·",0,30
"conference·in·",264,22
"conference·was·",17,0
"confidence·that·",46,26
"confidence·that·",0,26
"confirmatory·Phase·",0,14
"confirmed·as·",0,14
"confirmed·that·a·",0,32
"confronted·by·",19,16
"Congress·of·Rheumatology·",0,16
"Conservative·candidate·",14,0
"considered·by·",24,38
"consumer·spending.·",19,0
"contact·101·",0,16
"contact·police·on·",0,178
"contact·the·independent·charity·",0,36
"contact·with·",41,42
"contact·your·newsagent·",0,78
"continue·to·",1432,942
"continue·to·be·a·",25,0
"continue·to·have·access·",13,0
"continue·to·operate·",14,0
"continue·to·serve·",14,0
"continued·access·to·the·",23,0
"contrary·to·",38,0
"contrast·to·",0,18
"contribute·to·",86,0
"contributed·to·the·",24,18
"control·of·our·borders·",20,0
"control·of·our·own·",15,0
"control·over·",0,18
"control·their·",0,16
"convinced·that·",34,32
"cooperation·with·",24,34
"cope·with·",129,14
"Copyright·2016·Associated·Newspapers·Ltd.·",101,390
"Copyright·2016·China·",14,0
"Copyright·2016·Coventry·",0,42
"Copyright·2016·Evening·",85,0
"Copyright·2016·Gloucestershire·Echo·",16,38
"Copyright·2016·Midland·Independent·",28,32
"Copyright·2016·Newcastle·Chronicle·",56,88
"Copyright·2016·Newcastle·Chronicle·&·",56,88
"Copyright·2016·Newcastle·Chronicle·&·Journal·",56,88
"Copyright·2016·NEWS·GROUP·NEWSPAPERS·",156,876
"Copyright·2016·NewsQuest·Media·",141,1092
"Copyright·2016·NewsQuest·Media·Group·",141,1092
"Copyright·2016·Progressive·",0,28
"Copyright·2016·Scottish·Daily·Record·&·Sunday·",52,116
"Copyright·2016·Scottish·Daily·Record·&·Sunday·",52,0
"Copyright·2016·The·Guardian·a·division·of·",79,18
"Copyright·2016·The·Guardian·a·division·of·Transcontinental·Media·",0,18
"Copyright·2016·The·Liverpool·Daily·",19,56
"Copyright·2016·The·Liverpool·Daily·Post·&·Echo·",19,56
"Copyright·2016·The·Liverpool·Daily·Post·&·Echo·",19,0
"Copyright·2016·The·Liverpool·Daily·Post·&·Echo·Ltd·",19,56
"Copyright·2016·Trinity·Mirror·",35,38
"Copyright·2017·Archant·",76,228
"Copyright·2017·Archant·Regional·Limited·",73,228
"Copyright·2017·Associated·Newspapers·",259,0
"Copyright·2017·Euromoney·",30,16
"Copyright·2017·Johnston·",463,646
"Copyright·2017·Johnston·Press·Plc·",463,646
"Copyright·2017·Midland·Independent·",55,22
"Copyright·2017·Midland·Independent·Newspapers·",55,22
"Copyright·2017·Newcastle·",124,72
"Copyright·2017·Newsquest·Media·",249,160
"Copyright·2017·NewsQuest·Media·Group·Limited·",423,1362
"Copyright·2017·Scottish·Daily·Record·&·",140,208
"Copyright·2017·The·Guardian·a·division·of·Transcontinental·",0,14
"Copyright·2017·The·Guardian·a·division·of·Transcontinental·Media·",123,14
"Copyright·2017·The·Irish·News·",186,16
"Copyright·2017·The·Liverpool·",31,36
"Copyright·2017·The·Liverpool·Daily·Post·",31,36
"Copyright·2017·Trinity·Mirror·plc·",79,42
"Copyright·2017·Western·Mail·and·Echo·Ltd·",209,98
"Copyright·2018·Aberdeen·Journals·Ltd·",0,170
"Copyright·2018·Express·Newspapers·",0,56
"Corbyn·on·",24,0
"Corbyn·told·",18,0
"cordoned·off·",0,32
"corner·of·",0,20
"Cosentyx·(secukinumab)·",0,16
"costs·of·",128,74
"could·be·a·",152,70
"could·be·used·",37,20
"could·benefit·",0,22
"could·have·a·",0,16
"could·increase·",0,20
"could·lead·to·the·",29,0
"could·offer·",23,26
"could·result·in·",62,30
"Council·and·",48,18
"countries·and·",16,16
"countries·and·",0,16
"countries·for·",16,20
"countries·including·",14,30
"countries·including·",14,0
"country·and·",234,26
"courage·to·",29,0
"course·for·a·",15,0
"Court·and·",13,22
"Court·in·",29,0
"Coventry·Evening·",43,62
"cover·the·",62,32
"covering·a·",0,14
"crash·happened·at·",0,40
"crash·happened·at·around·",0,14
"Crash·involving·",0,14
"crash·with·car·",0,20
"Crawley·Observer·-·always·the·",0,26
"create·a·",237,172
"creation·of·",94,68
"crews·from·",0,96
"critically·ill·",0,14
"criticism·from·",44,20
"criticism·of·",74,14
"currently·has·",26,68
"currently·in·",37,224
"customs·deal·",16,0
"cystic·fibrosis·(CF)·",0,14
"Daily·Echo·",20,140
"Daily·Echo·(Newsquest·",16,136
"Daily·European·",36,22
"Daily·Examiner·",76,102
"Daily·Information·Co·",0,22
"daily·newsletter·AND·add·your·point·of·view·to·",15,300
"Daily·Post·&·Echo·Ltd·",73,100
"Daily·Record·&·Sunday·",316,348
"Daily·Times·",0,84
"damage·to·a·",0,20
"Danish·diabetes·care·",0,24
"dark·about·",14,0
"data·are·",0,58
"Data·from·",18,78
"Data·Monitoring·",0,38
"data·showed·",22,30
"data·shows·",24,28
"data·to·",38,90
"data·was·",16,0
"date·and·",19,28
"David·Davis.·",66,0
"day·at·a·",30,84
"day·at·a·glance·",0,80
"day·in·",72,48
"day·of·",186,72
"day·with·",16,14
"dead·in·",19,50
"deal·but·",36,0
"deal·in·",201,28
"deal·must·be·",18,0
"dealt·with·",52,94
"deal·which·",0,16
"deal·with·",1078,302
"deal·with·the·",526,44
"deal·worth·a·",0,14
"death·of·",47,170
"death·of·the·",0,16
"debate·is·",39,0
"debated·in·the·",14,0
"December·1·2016·",51,96
"December·11·",165,210
"December·12·2016·",0,102
"December·13·",126,310
"December·17·2016·",16,44
"December·2·2016·Friday·",18,66
"December·21·",101,0
"December·22·2016·Thursday·",14,0
"December·23·",62,178
"December·29·2016·",31,116
"December·3·2016·",32,62
"December·4·",111,94
"December·6·2016·",53,134
"December·7·2016·Wednesday·",29,70
"December·9·2016·",63,112
"decided·not·",37,20
"decided·not·to·",36,18
"decision·for·",24,14
"decision·in·",39,0
"decline·of·",34,42
"deemed·to·",14,18
"deep·and·",14,0
"defeats·in·",18,0
"degree·of·",107,40
"delaying·the·",21,16
"deliver·value·",0,14
"delivered·by·",22,20
"demand·in·",30,20
"demanding·that·",41,0
"demonstrate·that·",21,0
"demonstrate·that·",0,68
"demonstrates·that·",0,28
"demonstrates·the·",19,32
"denied·the·",53,34
"Department·for·Business·",14,0
"depends·on·",88,14
"deputy·governor·",24,0
"Derby·Telegraph·",54,54
"derived·from·",17,42
"described·as·",168,354
"described·by·",0,28
"despite·a·",72,14
"Despite·the·",37,0
"details·about·",19,14
"details·of·the·",75,76
"developed·at·",0,18
"developing·the·",18,48
"development·and·",48,0
"Development·and·",0,14
"development·and·review·of·",0,14
"development·is·",13,30
"development·manufacturing·",0,18
"development·of·novel·",0,36
"devoted·to·",18,18
"diabetes·and·",0,16
"did·a·",32,20
"did·not·identify·",0,16
"did·not·show·",0,16
"did·not·vote·for·",29,0
"did·not·want·",66,14
"did·the·",45,34
"difference·between·",77,26
"difference·to·",0,40
"differences·between·",23,14
"difficult·for·",107,32
"disappointed·with·",0,20
"discussions·with·the·",36,0
"disease·in·",0,114
"dismissed·the·",72,0
"District·Council·",0,28
"diverse·range·",0,22
"division·of·",387,98
"do·it·",0,28
"do·more·",72,18
"do·the·same·",31,0
"do·with·",192,38
"do·with·the·",38,0
"do·you·",162,100
"do·you·get·if·you·cross·",0,18
"do·you·think·",32,0
"DOCUMENT-TYPE:·Article·",17,0
"does·not·",988,372
"Dominic·Raab·the·",23,0
"don't·expect·",20,0
"don't·like·",60,0
"don't·miss·out!·",15,300
"Don't·miss·out·on·",15,0
"Donald·Tusk·",173,0
"Donald·Tusk·said·",24,0
"done·a·",37,18
"dose·of·",16,92
"down·at·",0,40
"down·the·",525,118
"Download·Request:·",38,54
"Dr·Lebeaut·",0,18
"Dr·Tom·",0,16
"draft·of·",28,0
"drink·and·",20,0
"drive·the·",20,30
"drive·to·",44,30
"driven·by·",178,0
"driven·by·the·",24,74
"driving·a·",0,84
"drop·by·",0,20
"drop·in·",262,62
"drug·which·",0,92
"due·to·a·",56,100
"Duke·of·",32,24
"duration·of·",18,84
"During·a·",33,18
"during·an·",39,0
"during·this·",47,62
"each·day·",24,14
"each·of·the·",36,46
"eager·to·",24,32
"earlier·in·the·",50,42
"early·hours·of·",14,160
"East·and·",57,74
"East·of·",32,46
"East·Sussex·Fire·and·",0,16
"Eastern·Daily·Press·",66,148
"Eastern·Europe·",18,0
"EC·approval·",0,20
"Economic·Area·(EEA)·",22,0
"economic·future·",18,0
"Economy·Secretary·",28,0
"Edinburgh·and·",62,14
"Edinburgh·Evening·News·",39,14
"EDITORIAL;·OPINION;·",74,0
"EDITORIAL;·OPINION;·LEADING·ARTICLES;·",0,26
"effect·of·the·",30,14
"eight·months·",16,0
"either·side·of·the·",24,0
"elderly·man·",0,14
"election·in·the·",19,0
"Electoral·Commission·",73,0
"element·of·",72,0
"element·of·the·",32,0
"elements·of·",89,22
"eligible·for·",20,146
"else·in·",28,14
"email·101@dorset.pnn.police.uk·",0,18
"email·101@dorset.pnn.police.uk·or·by·calling·",0,16
"Email·us:·missingsections@express.co.uk·",0,28
"employers·and·",26,0
"enable·us·",28,0
"end·to·",171,0
"ended·the·",0,14
"engage·with·",82,28
"engage·with·the·",29,0
"engaged·in·",62,66
"engaging·in·",18,22
"engineering·and·",29,24
"England·and·Wales.·",16,20
"England·and·Wales·",47,74
"enjoyed·a·",43,24
"ensure·that·patients·",0,28
"ensure·the·",214,84
"ensure·there·is·",22,0
"entered·the·",35,124
"entry·of·",0,44
"epidermal·growth·",0,28
"equipment·and·",16,28
"especially·if·",34,14
"especially·in·",71,0
"essential·for·",34,14
"Essex·Police·on·",0,16
"established·in·the·",13,18
"estate·in·",13,18
"estimated·that·",54,86
"estimated·that·",54,0
"EU·and·",1026,38
"EU·as·a·",36,0
"EU·countries·to·",14,0
"EU·Referendum·",35,0
"EU·withdrawal·",116,0
"Europe·as·",0,24
"Europe·as·a·",16,0
"Europe·for·",51,66
"Europe·is·",122,20
"Europe·or·",19,0
"European·Commission·has·granted·marketing·authorization·for·",0,16
"European·Court·of·",253,14
"European·Union·",1875,300
"evaluated·the·",0,46
"even·after·",46,20
"even·if·it·",51,0
"even·in·",63,26
"even·in·",0,26
"even·the·",119,0
"even·with·",41,16
"Evening·News·",115,244
"Evening·Standard·(London)·",389,94
"Evening·Standard·Limited·",389,94
"Event·End·",232,32
"Event·End·Date:·",232,0
"examine·the·",0,42
"examined·the·",13,34
"example·of·",177,110
"example·of·how·",17,18
"example·of·the·",40,16
"exchange·rates·",0,22
"excited·to·join·",0,16
"exclusive·rights·to·",0,106
"executive·and·",25,112
"exercise·its·",0,26
"expect·Brexit·to·",16,0
"expect·that·",29,22
"expect·their·",14,0
"expectation·of·",24,16
"expectations·for·",0,20
"expected·to·",1044,1194
"expected·to·be·available·",0,14
"expected·to·become·",0,14
"experienced·a·",21,52
"expertise·and·",23,86
"expertise·in·",24,190
"explore·the·",37,78
"explore·the·",0,78
"explored·the·",0,14
"Express·Scripts·",0,66
"extend·the·",48,50
"extension·to·",36,20
"eye·on·the·",14,0
"face·down·",18,0
"face·of·",179,40
"faces·a·",120,64
"facilities·in·the·",0,24
"facing·the·",122,24
"fact·is·that·",26,0
"fact·that·",436,142
"fact·that·the·",95,32
"facts·and·",33,0
"failing·to·",232,98
"failure·to·",248,30
"fallers·on·the·FTSE·100·",33,0
"fall·to·",34,14
"family·and·",40,372
"family·and·friends·-·so·they·don't·miss·out!·",15,0
"family·were·",0,20
"fan·of·",37,20
"far·this·",31,24
"Farage·who·",16,0
"fastest·growing·",31,18
"Fax·01·868·",0,18
"fear·of·",91,0
"FEATURES;·OPINION·",81,136
"FEATURES;·Pg.·23·",16,16
"FEATURES;·Pg.·41·",14,20
"February·14·2017·Tuesday·",13,92
"February·15·2017·Wednesday·",0,66
"February·16·",56,142
"February·20·",74,124
"February·21·2017·",39,136
"February·22·",88,160
"February·25·",41,74
"February·27·",84,0
"February·28·",81,154
"February·7·",84,212
"February·7·2017·Tuesday·",22,120
"February·8·",104,360
"February·8·2017·Wednesday·",18,184
"February·9·",147,338
"feel·that·",76,14
"fees·for·",14,14
"fees·for·",0,14
"fell·in·",29,16
"fell·to·",81,20
"figure·for·",0,26
"final·three·",13,0
"financial·crisis·",64,0
"Financial·details·of·",0,18
"Financial·Times·",160,22
"find·out·",104,0
"find·out·more·",14,34
"findings·of·",34,46
"fire·to·a·",0,16
"firm·Celgene·(Nasdaq:·",0,26
"firm·Celgene·(Nasdaq:·CELG)·",0,18
"firm·GlobalData.·",0,16
"firms·to·",122,20
"firms·to·",0,20
"first·ever·",18,32
"first·half·of·",107,202
"first·half·of·the·year·",16,0
"first·instance·or·call·our·Missing·Sections·",0,28
"first·nine·months·of·",0,44
"First·Secretary·",38,0
"first·three·",36,26
"first·time·",320,156
"first·time·the·",21,14
"first·treatment·for·",0,16
"first·with·your·local·news.·",14,0
"five·years·",172,164
"flexibility·and·",15,0
"flexibility·to·",29,30
"focus·to·",14,20
"focused·on·the·",49,118
"focussed·on·",14,0
"Follow·us·on·",23,304
"Follow·us·on·Twitter·",21,302
"followed·by·",236,0
"followed·by·a·",65,0
"following·an·",14,94
"following·collision·",0,32
"following·June's·",16,0
"following·reports·",14,76
"following·the·",678,586
"Following·the·",18,0
"follows·a·",44,66
"follows·the·",40,76
"food·supply·",22,0
"for·18·",0,20
"for·30·",0,20
"for·40·",20,16
"For·a·",66,34
"for·a·fresh·",21,0
"for·a·hard·Brexit·",16,0
"for·a·potential·",19,18
"for·a·second·referendum·",26,0
"for·almost·a·",15,0
"for·anyone·with·",0,26
"for·at·",61,52
"for·better·",0,24
"for·Brexit·the·",19,0
"for·Brexit·to·",48,0
"for·chronic·",0,74
"for·Economics·",20,0
"for·Economics·and·",19,0
"for·everyone·",39,0
"for·example·",41,18
"for·first·",16,24
"For·general·inquiries:·020·8612·",0,66
"for·its·",322,534
"for·its·lead·",0,26
"for·leaving·the·European·",14,0
"for·life·after·",18,26
"for·many·years·",25,26
"for·ministers·",16,0
"for·more·",296,304
"for·more·than·",108,160
"for·National·Statistics·",94,0
"for·nearly·",30,44
"for·negotiations·",23,0
"for·or·",0,14
"for·Parliament·",26,0
"for·people·who·",24,28
"for·prostate·",0,16
"for·so·",24,0
"for·South·",22,24
"for·special·",24,0
"for·the·economy·",41,0
"for·the·first·",287,192
"for·the·first·time·",149,62
"for·the·first·time·",16,0
"for·the·initial·",0,14
"for·the·potential·treatment·of·",0,14
"for·the·third·",19,22
"for·the·treatment·of·",0,1342
"for·the·treatment·of·acute·",0,14
"for·the·whole·",76,14
"for·those·in·",14,0
"for·those·who·",0,24
"for·triggering·Article·",15,0
"for·two·",84,160
"for·unity·",14,0
"for·up·",66,118
"for·up·",66,0
"for·us.·",49,18
"for·use·on·",0,14
"for·years·",92,34
"for·your·",82,42
"Ford·Transit·van·",0,16
"forecasts·for·",54,18
"forecasts·of·",30,22
"foreign·investment·",0,16
"formed·in·",17,14
"former·director·",18,0
"former·prime·",79,0
"forming·a·",22,0
"Fort·Dunlop·Fort·Parkway·B24·",16,0
"forward·in·the·",14,20
"forward·in·the·",0,20
"found·at·",16,90
"found·in·",44,308
"found·out·",16,18
"found·that·",369,248
"four·ways·you·can·be·",15,300
"four·years.·",0,40
"Fox·has·",31,0
"framework·of·",0,20
"friends·-·so·they·don't·miss·out!·",15,300
"friends·in·",38,16
"from·April·",17,18
"from·being·",72,26
"from·both·sides·of·",21,0
"from·British·",34,0
"from·business·",31,16
"from·elsewhere·",13,0
"from·London·",108,0
"from·Merck·&·",0,20
"from·Northern·Ireland·",20,0
"from·other·",140,0
"from·some·",0,16
"from·some·of·",15,0
"From·the·",36,0
"from·the·Cleveland·",0,14
"from·the·EU·to·",36,0
"from·the·rest·of·the·UK.·",13,0
"from·the·same·",14,14
"from·the·UK·",269,14
"from·the·UK·",0,14
"from·the·US·Food·and·",0,76
"front·door·",0,46
"front·of·",0,194
"fruit·and·",28,20
"ft·of·",14,0
"Full·story:·Page·",14,16
"Full·Story·",0,40
"full·year·",20,0
"full·year·of·",0,20
"funding·will·",19,28
"funds·to·",38,20
"future·and·",74,16
"future·but·",20,0
"future·growth·",16,14
"future·outside·the·",31,0
"future·relations·",40,0
"future·relationship.·",31,0
"gain·access·to·",0,24
"gas·central·heating·",0,14
"gave·a·",78,48
"gave·the·",75,36
"Gazette·Media·Company·Ltd·",29,0
"GBR·CF1·3XT·",38,54
"GDP·by·",22,0
"generics·major·",0,16
"Germany·and·",80,44
"Germany·and·France·",15,0
"Germany·Italy·Spain·the·UK·and·",0,22
"get·if·you·cross·a·",0,18
"get·in·",58,158
"get·it·",85,30
"getting·out·",17,0
"getting·to·",21,16
"gift·to·",0,18
"give·a·",146,66
"give·Parliament·a·",18,0
"give·them·a·",14,0
"Give·us·",16,0
"give·you·",25,0
"given·a·vote·",21,0
"gives·a·",36,22
"giving·a·",40,0
"global·Phase·III·",0,30
"go·against·",19,0
"go·forward·",16,0
"go·to·",351,106
"going·and·",13,0
"going·into·the·",18,0
"going·through·",49,0
"good·and·",36,20
"good·for·",199,28
"good·progress·",21,14
"Gove·the·",24,0
"Government·and·",206,14
"government·must·",91,0
"government·needs·",26,0
"Government·needs·to·",35,0
"government·of·",87,28
"government·will·",148,36
"Government's·position·",26,0
"governments·are·",21,0
"granted·for·",0,20
"granted·orphan·drug·",0,22
"granted·to·",0,26
"GRAPHIC:·<B·",48,16
"GRAPHIC:·Michael·",13,0
"great·news·",0,28
"great·to·",46,0
"group·and·",0,28
"group·that·",28,26
"group·which·",49,14
"grow·by·",43,24
"grow·our·",22,0
"growing·at·",27,18
"growth·is·",72,30
"growth·will·be·",16,18
"growth·would·",30,0
"Guardian·a·division·of·Transcontinental·",371,36
"guilty·of·",36,82
"guilty·of·",36,0
"had·a·",684,738
"had·become·",39,22
"had·been·made·",56,0
"had·gone·",28,24
"had·her·",14,22
"had·in·",38,0
"had·long·",13,0
"had·no·",161,86
"had·not·been·",52,0
"had·told·",28,20
"Hammond·the·chancellor·",23,0
"hand·to·",32,16
"handed·to·",33,16
"happened·is·",0,14
"happy·to·",132,52
"hard·border·with·the·",23,0
"hard·Brexit.·",16,0
"hard·Brexit.·",24,0
"hard·Brexit'.·",15,0
"Harper·executive·vice·president·of·R&D·at·Amgen·",0,16
"has·accepted·",21,84
"has·agreed·to·",34,100
"has·already·been·",46,74
"has·also·been·",78,102
"has·an·established·",0,14
"has·announced·that·the·",0,16
"has·appeared·",0,54
"has·approved·the·",0,28
"has·argued·",29,14
"has·become·a·",62,48
"has·become·a·",62,0
"has·been·",3773,4754
"has·been·able·to·",0,14
"has·been·available·",0,18
"has·been·awarded·a·",0,16
"has·been·in·the·",0,16
"has·been·more·",14,0
"has·been·one·",22,0
"has·been·presented·",0,20
"has·been·released·",0,92
"has·been·set·",16,14
"has·been·told·",27,16
"has·benefited·",16,0
"has·demonstrated·",0,76
"has·described·the·",16,16
"has·granted·Breakthrough·",0,14
"has·identified·",16,24
"has·insisted·",118,0
"has·launched·a·new·",0,16
"has·led·",98,0
"has·led·to·a·",22,14
"has·left·",111,30
"has·met·",30,28
"has·more·than·",33,48
"has·never·",129,24
"has·not·been·named·",0,18
"has·one·",0,32
"has·posted·",19,16
"has·posted·",0,16
"has·provided·",0,36
"has·recently·",36,0
"has·repeatedly·said·",16,0
"has·resulted·",26,32
"has·returned·",21,16
"has·revealed·",77,28
"has·ruled·",40,14
"has·said·it·will·",27,20
"has·said·that·",134,22
"has·served·",16,34
"has·some·",31,16
"has·spent·",34,0
"has·stressed·",19,24
"has·taken·a·",36,24
"has·the·potential·to·be·",0,30
"has·to·be·",204,30
"has·to·be·a·",24,0
"has·tried·",24,0
"has·written·",93,26
"has·written·",93,0
"has·yet·",86,0
"have·a·",2378,1578
"have·a·good·",32,14
"have·a·photo:·020·8612·7171·or·",0,138
"have·a·say·on·",35,0
"have·a·story:·020·8612·7000·If·you·have·",0,190
"have·a·very·",28,16
"have·already·",245,90
"have·always·",0,32
"have·an·impact·on·the·",14,0
"have·announced·",19,66
"have·any·information·about·the·",0,14
"have·been·a·",89,0
"have·been·able·to·",17,0
"have·been·accused·of·",14,0
"have·been·arrested·on·suspicion·of·",0,22
"have·been·clear·",25,0
"have·been·released.·",0,16
"have·been·stolen·",0,30
"have·been·working·",23,14
"have·built·",13,0
"have·called·on·",14,0
"have·confirmed·",15,42
"have·decided·to·",24,14
"have·done·",144,44
"have·entered·into·a·collaboration·",0,14
"have·failed·",52,66
"have·given·",61,18
"have·had·",314,0
"have·heard·",42,0
"have·increased·",40,26
"have·increased·",40,0
"have·left·",78,14
"have·proved·",16,0
"have·reached·",38,38
"have·said·",198,32
"have·seen·any·",0,14
"have·so·",46,18
"have·started·",44,26
"have·suffered·",22,34
"have·the·final·",44,0
"have·the·opportunity·to·",33,42
"have·their·own·",14,0
"have·to·",2366,286
"having·the·",81,0
"He·added:·",752,122
"He·added·",229,32
"he·called·",52,0
"he·did·",176,44
"He·did·",17,0
"he·did·not·",118,24
"he·had·",581,234
"He·had·",32,0
"He·is·a·",19,22
"He·is·due·to·",0,16
"he·not·",15,0
"he·said.·",1696,102
"he·said·",0,42
"he·says.·",81,24
"he·set·out·",13,0
"he·should·",94,20
"He·told·BBC·",24,0
"He·was·",269,574
"he·was·pronounced·",0,16
"he·will·",344,0
"he·will·be·",38,32
"he's·a·",21,34
"head·injuries·after·",0,18
"Health·and·Human·",0,62
"health·in·",14,18
"Health·Service·",14,160
"health·service·",48,24
"healthcare·and·",33,34
"healthcare·giant·Johnson·",0,96
"heard·a·",18,24
"heard·from·",32,20
"heart·failure·",0,24
"held·at·",62,0
"held·by·",69,48
"help·and·",0,16
"help·ensure·",20,38
"help·fund·",0,14
"help·to·",124,142
"helped·by·",57,20
"hepatitis·C·",0,200
"her·a·",41,46
"her·first·",64,22
"her·head·",0,34
"her·in·",36,40
"her·team·",21,0
"here·and·",105,22
"Here·are·four·ways·you·can·be·",15,300
"here·in·",166,22
"here·to·",218,16
"high·blood·pressure·",0,16
"High·Court·judges·",14,0
"high·levels·of·",0,58
"higher·at·",22,18
"higher·unit·",0,18
"HIGHLIGHT:·A·",0,64
"him·and·",58,58
"him·as·",62,0
"him·to·",0,136
"his·40s·",0,20
"his·head·",17,50
"his·leadership·",18,0
"his·time·",28,26
"his·way·",0,42
"history·of·the·",23,20
"hit·and·",0,62
"hit·the·",122,100
"hold·of·",17,24
"hold·on·",26,48
"hold·the·",85,30
"holds·a·",15,20
"holiday·in·",27,18
"home·has·",0,38
"home·in·",0,276
"home·in·the·",0,20
"homes·in·",42,18
"hope·for·",69,56
"hope·the·",68,0
"hope·to·",84,82
"hopes·and·",21,0
"hopes·the·",0,14
"hours·a·",18,24
"hours·after·",65,54
"hours·before·",36,14
"hours·of·",66,232
"hours·to·",18,22
"House·191·-·197·North·Circular·",0,18
"House·in·",26,34
"housing·market.·",17,0
"How·can·",14,0
"how·important·",36,0
"how·it·",197,34
"how·leaving·the·",16,0
"how·long·",52,30
"how·many·of·",18,0
"However·as·",20,16
"However·in·",44,18
"however·the·",28,24
"However·there·",61,20
"hub·for·",30,16
"hugely·important·",14,0
"Hull·Daily·Mail·",38,54
"Human·Use·(CHMP)·in·",0,14
"hurt·in·collision·",0,22
"I·am·",0,242
"I·am·appealing·",0,26
"I·am·confident·that·",16,18
"I·am·excited·",0,26
"I·can't·",98,30
"I·clinical·",0,60
"I·couldn't·",24,0
"I·did·",92,16
"I·don't·want·to·",14,0
"I·have·",0,112
"I·look·forward·to·",28,34
"I·really·",41,16
"I·said·",64,0
"I·see·",83,14
"I·shall·",14,0
"I·study·in·",0,14
"I·want·to·see·",23,0
"I·wanted·",30,14
"I·will·",319,34
"I·would·also·like·",0,18
"I·would·like·to·",72,30
"I·would·urge·",0,24
"I'm·a·",57,28
"I'm·sure·",69,14
"I've·always·",13,0
"If·it·",31,0
"if·it·is·",98,22
"if·not·",108,0
"if·the·Government·",49,0
"if·the·rest·of·the·UK·",17,0
"If·the·UK·",41,0
"if·there·",340,20
"if·they·are·",60,20
"if·we·",631,46
"If·we·",181,18
"if·we·were·to·",14,0
"if·you·",396,192
"If·you·",0,1006
"if·you·are·",44,20
"If·your·Saturday·magazine·is·missing·please·",0,22
"II·of·Section·H·",0,18
"III·study·",0,38
"image·of·the·",0,20
"immediately·after·",53,14
"impact·in·",0,26
"impact·of·",1074,180
"impact·of·leaving·the·EU·",17,0
"impact·of·the·",149,38
"impact·on·",846,270
"impact·on·the·UK·",20,0
"impact·the·",51,30
"implementation·of·the·",27,30
"important·and·",0,20
"important·for·",0,66
"important·new·",0,98
"impressed·by·",14,20
"improve·the·",91,192
"improve·the·lives·of·",0,22
"improved·access·",0,16
"improvement·in·the·",0,26
"improving·access·",0,20
"in·14·",0,14
"in·2007·",20,18
"in·2010.·",18,0
"in·2011.·",13,18
"in·2015·",71,144
"in·2015·and·",17,26
"in·2016·",117,148
"in·2016·",178,162
"in·2017.·",80,158
"in·2017·",154,92
"in·2018.·",54,54
"in·2018·",71,46
"in·2019·",72,16
"in·a·",4383,5742
"in·a·letter·",42,0
"in·a·number·",0,48
"in·a·range·of·",14,22
"In·a·speech·in·",25,0
"in·a·statement·",33,26
"In·a·statement·",0,26
"in·a·way·that·",0,18
"In·addition·the·",0,68
"In·addition·to·",22,128
"in·addition·to·",36,0
"in·advance·",53,20
