"n.gram","n.size","G","cpr","dice","ll","f","freq_first_word","freq_last_word","rating"
"to·secure·",2,12.654,0.88219,0.0019064,1609.9,303,590991,691,"T"
"of·major·",2,8.8509,0.054935,0.00058915,14.997,288,966326,11356,"F"
"league·title·",2,8.4721,0.61726,0.023752,450.29,133,4158,7041,"U"
"attempt·at·",2,8.6892,0.48462,0.0028059,287.3,181,2626,125676,"T"
"some·historians·",2,10.176,0.67139,0.0089407,490.33,158,33876,1468,"T"
"the·death·penalty·",3,11.403,0.84597,0.00020069,0,131,1976066,1038,"T"
"St·Mary·'·s·",4,3.746,0.94647,0.0012728,0,153,6247,83240,"T"
"in·addition·NUM·",3,10.298,0.03552,0.00013889,0,80,741837,1001604,"U"
"his·descendants·",2,0,0,0,1.7372,83,0,892,"U"
"World·War·i·",3,7.5168,0.9708,0.014612,0,342,15947,13006,"T"
"in·NUM·he·wrote·",4,19.465,0.19814,0.00018175,0,96,741837,6597,"U"
"production·company·",2,9.1039,0.56231,0.018417,425.81,154,7506,9218,"T"
"in·the·movie·",3,7.4516,0.28375,0.00021615,0,196,741837,2463,"T"
"the·buddha·",2,10.186,0.45363,0.00031161,301.32,217,1976066,744,"T"
"was·shot·",2,12.047,0.75543,0.0025198,915.48,283,287981,928,"T"
"in·NUM·by·NUM·",4,15.019,0.0024896,0.000051658,0,134,741837,1001604,"F"
"the·first·single·",3,1.5609,0.47468,0.0001613,0,176,1976066,1528,"U"
"buildings·are·",2,9.0919,0.28844,0.002452,186.39,133,2957,106340,"F"
"a·child·",2,12.406,0.49077,0.0027565,1116.1,339,557551,3309,"T"
"be·created·",2,10.38,0.45998,0.003769,245.47,176,88310,4552,"T"
"to·rise·",2,10.993,0.74587,0.00067975,435.97,207,590991,405,"T"
"the·challenge·",2,8.1703,0.27175,0.00012849,45.351,127,1976066,679,"T"
"the·Human·",2,7.4317,0.19253,0.00013253,33.643,142,1976066,831,"F"
"about·NUM·years·",3,9.0869,0.30618,0.00024424,0,202,14908,27542,"T"
"of·the·imperial·",3,0.86669,0.21579,0.0001284,0,127,966326,1525,"F"
"the·mystery·",2,7.7667,0.30182,0.00011029,54.372,78,1976066,473,"T"
"an·animal·",2,8.7733,0.56239,0.001952,206.1,136,106400,1182,"T"
"in·music·",2,9.1095,0.058697,0.000698,5.0705,263,741837,11742,"T"
"the·confederate·",2,9.1261,0.45198,0.0002135,205.25,211,1976066,514,"U"
"to·find·out·",3,-3.0948,0.64897,0.00060442,0,127,590991,16998,"T"
"the·Commonwealth·",2,10.311,0.5172,0.00042085,448.82,209,1976066,907,"U"
"in·nature·",2,10.872,0.25924,0.00096869,205.45,299,741837,3498,"T"
"in·the·British·",3,-1.7672,0.18427,0.00015542,0,161,741837,3731,"F"
"instead·of·",2,15.277,0.61108,0.0047133,3428.3,1498,5822,966326,"T"
"his·wife·",2,0,0,0,1.7372,622,0,4830,"T"
"a·road·",2,8.5335,0.14893,0.00059959,66.427,168,557551,2833,"T"
"front·line·",2,9.5475,0.86084,0.015609,309.56,96,1001,8993,"U"
"width·NUM·",2,0.81747,0.029638,0.000029932,3.4783,178,673,1001604,"F"
"to·start·",2,13.571,0.80503,0.002044,1460.8,399,590991,994,"T"
"the·soil·",2,10.193,0.32839,0.00027009,148.23,263,1976066,1059,"T"
"they·eventually·",2,6.238,0.2722,0.0023927,62.332,67,50318,5685,"U"
"by·James·",2,10.959,0.26323,0.0023752,239.9,240,197397,4694,"U"
"U·NUM·",2,6.9469,0.068315,0.00069683,5.6976,361,11555,1001604,"F"
"for·german·",2,6.8512,0.070514,0.00082771,3.8723,96,222363,9603,"F"
"to·fire·",2,12.868,0.81468,0.00076775,573.85,246,590991,344,"T"
"members·are·",2,10.333,0.245,0.0044629,250.12,259,9729,106340,"F"
"was·released·on·NMONTH·NUM·",5,8.4019,0.36085,0.0028121,0,913,287981,1001604,"T"
"in·the·book·",3,8.5488,0.20185,0.00045568,0,302,741837,7693,"T"
"questions·about·",2,10.188,0.70593,0.015536,474.8,135,1184,14908,"T"
"Final·Fantasy·",2,9.4076,0.99542,0.22242,981.17,137,824,327,"T"
"more·accurate·",2,9.9664,0.83908,0.010799,392.43,127,17974,732,"F"
"is·never·",2,8.1751,0.21688,0.0012001,55.118,166,270267,6382,"F"
"individuals·and·NUM·%·had·someone·living·alone·who·",9,9.1805,0.99859,0.0012374,0,265,2527,45906,"F"
"the·Lord·",2,12.16,0.25189,0.00062571,338.21,253,1976066,2472,"T"
"of·the·nation·'·s·",5,1.461,0.46912,0.00013429,0,130,966326,81513,"U"
"defined·as·",2,13.745,0.63749,0.0056053,1281.1,87,2723,205653,"U"
"systems·for·",2,8.1975,0.1399,0.0011108,38.244,127,6308,222363,"U"
"was·also·used·",3,7.9002,0.49855,0.0016038,0,207,287981,27170,"U"
"north·-·western·",3,7.4648,0.82095,0.00070095,0,97,3716,5529,"U"
"in·Florence·",2,7.5823,0.37085,0.00035292,162.8,131,741837,550,"U"
"a·head·",2,8.865,0.10304,0.00071078,33.324,201,557551,5208,"T"
"under·the·supervision·of·",4,2.6,0.85851,0.00017536,0,130,22620,966326,"T"
"NUM·provides·",2,6.0776,0.069703,0.0001155,10.235,63,1001604,2744,"F"
"a·weekly·",2,9.3996,0.5268,0.00061258,245.85,173,557551,743,"F"
"of·creating·",2,9.474,0.1802,0.0003326,51.111,161,966326,1815,"U"
"a·decisive·",2,8.3746,0.66808,0.00065226,337.83,181,557551,512,"F"
"along·with·other·",3,13.364,0.32471,0.0020941,0,219,8782,46593,"U"
"in·european·",2,8.182,0.068283,0.00059886,10.221,223,741837,6252,"U"
"the·NUM·largest·",3,0.83011,0.072611,0.00014073,0,140,1976066,6844,"T"
"amount·of·time·",3,1.7272,0.69916,0.0004445,0,149,2736,36554,"U"
"UEFA·champions·League·",3,5.481,0.92226,0.091553,0,155,1724,8459,"T"
"in·the·process·of·",4,3.1558,0.24591,0.00023846,0,220,741837,966326,"T"
"a·uniform·",2,8.7145,0.4576,0.00037635,154.23,127,557551,444,"T"
"International·Film·Festival·",3,12.283,0.84389,0.051609,0,177,6750,1997,"T"
"more·likely·",2,13.815,0.92824,0.047105,2072.3,128,17974,1939,"U"
"the·Simpsons·",2,6.7873,0.84878,0.00015484,298.49,153,1976066,175,"T"
"an·economic·",2,9.4206,0.33841,0.0037715,279.41,209,106400,4962,"F"
"NUM·of·the·largest·",4,13.109,0.46683,0.00055279,0,272,1001604,6844,"T"
"data·for·",2,9.0345,0.15654,0.0011891,69.024,135,4693,222363,"F"
"his·predecessor·",2,0,0,0,1.7372,154,0,705,"T"
"were·recorded·",2,10.229,0.54683,0.0036039,307.68,169,90681,2551,"T"
"of·using·",2,11.753,0.077713,0.00073306,1.7374,297,966326,10401,"F"
"earthquake·and·tsunami·",3,7.9695,0.77186,0.00029455,0,75,913,311,"T"
"St·George·",2,10.603,0.87864,0.046889,1018.5,168,6247,4715,"T"
"to·hide·",2,9.2308,0.807,0.00058181,432.19,173,590991,264,"T"
"used·only·",2,7.9594,0.20456,0.0040403,66.05,131,27170,25797,"F"
"the·genre·",2,10.14,0.31635,0.00029842,195.33,224,1976066,1019,"T"
"in·NUM·that·",3,10.775,0.031377,0.00064732,0,542,741837,110356,"F"
"the·disease·",2,10.711,0.29057,0.00040646,162.29,274,1976066,1970,"T"
"his·head·",2,0,0,0,1.7372,269,0,5208,"T"
"to·settle·",2,10.081,0.87697,0.0011903,1002.9,208,590991,433,"T"
"released·on·NMONTH·NUM·",4,13.449,0.40139,0.0037122,0,132,10140,1001604,"T"
"won·several·",2,5.0599,0.5,0.0039596,62.394,73,1994,17086,"F"
"the·fortress·",2,9.6587,0.38829,0.00021247,160.89,141,1976066,642,"T"
"other·large·",2,7.4545,0.16895,0.0031333,59.134,93,46593,12770,"F"
"on·campus·",2,9.7249,0.30415,0.0020768,321.96,210,200123,2107,"T"
"to·send·",2,12.052,0.78161,0.0020072,1532.5,506,590991,865,"T"
"natural·selection·",2,11.381,0.94953,0.063753,949,183,4499,1336,"T"
"NUM·pm·",2,6.1633,0.98787,0.00063876,887.03,240,1001604,331,"T"
"NUM·so·",2,10.909,0.11113,0.00035183,2.2742,238,1001604,13029,"F"
"second·goal·",2,8.7959,0.33665,0.013136,365.39,140,16821,4495,"T"
"NUM·km·NUM·",3,6.108,0.074163,0.00047362,0,200,1001604,1001604,"U"
"to·believe·",2,12.37,0.76803,0.0011798,812.79,159,590991,614,"U"
"Research·Institute·",2,10.824,0.68757,0.074058,893.38,172,1656,2989,"U"
"a·goal·",2,10.412,0.18205,0.0015479,312.4,263,557551,4495,"T"
"NUM·special·",2,6.7754,0.061947,0.00022627,27.841,138,1001604,6063,"F"
"a·future·",2,8.6662,0.19976,0.00064636,93.945,210,557551,2507,"T"
"from·his·father·",3,0,0,0,0,128,138331,7200,"T"
"the·republican·",2,10.439,0.39323,0.00033584,236.45,325,1976066,1078,"F"
"NUM·-·NUM·BC·",4,13.522,0.65753,0.00064331,0,375,1001604,4226,"T"
"Jean·-·Jacques·",3,10.762,0.80311,0.00049404,0,63,1778,556,"T"
"per·NUM·",2,9.4154,0.043308,0.00073193,29.38,279,6696,1001604,"F"
"the·designation·",2,9.0278,0.26912,0.00016694,87.395,165,1976066,681,"T"
"was·rebuilt·",2,8.3,0.50257,0.0012198,396.19,176,287981,581,"T"
"of·control·",2,8.9749,0.072911,0.00034537,8.8021,168,966326,6540,"U"
"the·sixth·",2,11.038,0.52411,0.00056746,632.54,492,1976066,1166,"T"
"NUM·%·of·all·",4,10.152,0.91816,0.0011309,0,348,1001604,27764,"T"
"appears·on·",2,9.0274,0.46789,0.0020302,263.13,112,2808,200123,"U"
"to·walk·",2,10.425,0.75773,0.0005581,377.76,165,590991,301,"T"
"the·vehicle·",2,11.283,0.30878,0.00042977,227.62,328,1976066,1725,"T"
"the·majority·",2,13.841,0.55424,0.0018558,2133.9,172,1976066,3691,"U"
"France·NUM·",2,6.6633,0.045489,0.00026939,46.494,137,8087,1001604,"U"
"of·nuclear·",2,10.6,0.20486,0.0006027,129.65,217,966326,2651,"U"
"under·age·NUM·and·NUM·%·of·those·age·",9,7.3085,0.99771,0.00039262,0,167,22620,8752,"F"
"was·primarily·",2,8.4123,0.29488,0.00098347,103.13,143,287981,2826,"F"
"have·occurred·",2,10.243,0.77472,0.0037192,203.72,161,22647,753,"T"
"of·contemporary·",2,8.8493,0.17527,0.00039446,63.412,191,966326,2093,"U"
"the·terms·",2,11.765,0.17924,0.00066339,122.3,367,1976066,4684,"T"
"the·following·week·",3,5.391,0.82317,0.00024377,0,168,1976066,3088,"T"
"in·foreign·",2,7.4313,0.091603,0.00035664,4.5712,130,741837,4018,"U"
"his·heir·",2,0,0,0,1.7372,70,0,845,"T"
"a·powerful·",2,10.398,0.43085,0.0015326,534.18,429,557551,2299,"F"
"the·parliamentary·",2,9.0312,0.23376,0.00020534,66.423,158,1976066,1130,"F"
"can·be·used·for·",4,-1.2411,0.26493,0.0017476,0,162,32947,222363,"U"
"war·against·",2,12.188,0.4925,0.024487,995.63,133,12363,20471,"U"
"were·captured·",2,9.3143,0.49486,0.0029887,280.31,138,90681,1667,"T"
"to·measure·",2,12.229,0.84276,0.0010044,785.08,176,590991,415,"T"
"calls·for·",2,10.436,0.61974,0.0012469,307.6,246,598,222363,"U"
"a·mixture·of·",3,10.386,0.74675,0.00068873,0,350,557551,966326,"T"
"the·equivalent·",2,8.0744,0.131,0.000096104,6.455,131,1976066,845,"T"
"in·Frankfurt·",2,6.0643,0.38219,0.00021016,73.63,78,741837,470,"T"
"the·entry·",2,8.8538,0.15077,0.00017397,27.405,172,1976066,1320,"T"
"NUM·p·NUM·",3,12.358,0.19896,0.00040069,0,202,1001604,1001604,"F"
"has·recently·",2,8.4989,0.42319,0.006346,482.89,133,65252,2822,"U"
"taken·prisoner·",2,7.3836,0.88702,0.029871,446.03,87,5302,523,"T"
"to·confirm·",2,8.9435,0.84777,0.00056155,438.43,166,590991,233,"T"
"of·the·spanish·",3,2.4599,0.21586,0.0002485,0,227,966326,3304,"T"
"then·became·",2,11.578,0.34576,0.0086746,253.12,195,23192,21767,"F"
"based·at·",2,10.973,0.33478,0.0040086,173.19,224,14524,125676,"T"
"of·fighting·",2,9.1489,0.15125,0.00026038,37.577,132,966326,1478,"U"
"from·India·",2,8.0174,0.18714,0.0016748,85.351,120,138331,4971,"U"
"NUM·United·",2,7.2309,0.030928,0.00051239,191.38,98,1001604,21046,"U"
"to·hold·",2,13.859,0.79271,0.0028218,1899.4,539,590991,1537,"T"
"a·concert·",2,10.255,0.30404,0.00093303,256.78,258,557551,1917,"T"
"to·West·",2,7.9479,0.069321,0.00049928,3.9464,149,590991,5870,"U"
"match·against·",2,14.257,0.59477,0.059296,2912.1,534,4826,20471,"U"
"have·used·",2,9.9556,0.14292,0.00537,118.91,246,22647,27170,"T"
"in·the·air·",3,7.6577,0.20954,0.00022361,0,202,741837,5607,"T"
"the·religion·",2,7.932,0.094769,0.00015264,3.1499,150,1976066,2467,"T"
"of·foreign·",2,10.997,0.18529,0.00077292,127.74,366,966326,4018,"F"
"the·Communist·Party·",3,12.006,0.61522,0.00079146,0,135,1976066,5241,"T"
"to·discover·",2,9.6383,0.86959,0.0006799,538.29,201,590991,275,"T"
"starts·with·",2,8.9417,0.40605,0.0011101,212.5,135,687,193898,"T"
"NUM·the·town·",3,7.3996,0.060725,0.00015581,0,135,1001604,6712,"F"
"the·blue·",2,9.937,0.18781,0.00024873,32.167,232,1976066,2004,"U"
"the·outbreak·of·World·War·",5,12.151,0.64597,0.00020031,0,171,1976066,11489,"U"
"a·partial·",2,8.961,0.5527,0.00063767,265.28,177,557551,730,"F"
"also·considered·",2,8.3033,0.28,0.0032932,130.37,149,72055,6895,"U"
"qualification·for·",2,7.5745,0.36514,0.00074449,143.66,83,609,222363,"U"
"a·protein·",2,8.6922,0.22934,0.00051544,128.86,144,557551,1191,"T"
"a·function·",2,12.085,0.26036,0.0018637,528.86,142,557551,3699,"T"
"the·Coalition·",2,7.1018,0.27038,0.000090061,47.118,88,1976066,372,"T"
"a·small·number·of·",4,8.2667,0.69723,0.00064904,0,252,557551,966326,"U"
"be·read·",2,11.082,0.80068,0.0035966,486.15,161,88310,662,"T"
"the·relationship·",2,12.144,0.25886,0.00072653,337.07,128,1976066,3194,"T"
"to·agree·",2,9.3665,0.63054,0.00042618,245.49,126,590991,311,"T"
"the·Muslims·",2,7.83,0.28459,0.0001285,60.513,127,1976066,567,"U"
"Channel·NUM·",2,9.1945,0.48703,0.00047474,227.2,237,1057,1001604,"U"
"in·NUM·of·",3,22.712,0.0085154,0.00098865,0,387,741837,966326,"F"
"the·Byzantines·",2,6.4731,0.91387,0.00013055,256.51,129,1976066,145,"U"
"was·chosen·",2,11.42,0.74571,0.0042997,1481.5,221,287981,1805,"T"
"natural·resources·",2,11.447,0.88356,0.059375,911.3,190,4499,1901,"T"
"by·the·President·",3,5.6959,0.24754,0.00014725,0,107,197397,6515,"T"
"in·working·",2,5.6625,0.026215,0.00015549,15.438,59,741837,4212,"F"
"NUM·side·",2,10.211,0.1203,0.00073325,16.53,142,1001604,7595,"U"
"was·observed·",2,8.3791,0.51892,0.00086483,170.15,125,287981,1094,"T"
"of·the·FA·",3,7.2582,0.4385,0.00007237,0,71,966326,834,"T"
"anti·-·tank·",3,3.597,0.96443,0.00047037,0,154,1132,1316,"T"
"this·caused·",2,9.2866,0.34024,0.0019342,130.36,143,83950,1874,"U"
"the·states·",2,11.594,0.11867,0.00043101,5.058,242,1976066,5325,"T"
"to·retire·",2,8.5754,0.88182,0.0008354,655.5,185,590991,343,"T"
"the·blood·",2,10.995,0.21147,0.00040435,109.4,269,1976066,2423,"T"
"an·artificial·",2,8.0651,0.75228,0.0019045,243.78,104,106400,712,"F"
"commonly·called·",2,8.4793,0.76458,0.008651,150.89,155,3325,10019,"T"
"semi·-·final·",3,5.0715,0.88527,0.0026015,0,176,1950,8746,"T"
"NUM·n·",2,1.2005,0.12222,0.0000039934,1.8302,172,1001604,3578,"U"
"widely·known·",2,8.9968,0.77415,0.012388,465.49,168,3162,23962,"T"
"which·in·turn·",3,2.0067,0.67012,0.00099709,0,337,92728,1866,"F"
"a·program·",2,11.364,0.12464,0.0013483,158.93,380,557551,6115,"T"
"was·a·NUM·",3,-8.7836,0.014764,0.00065453,0,166,287981,1001604,"F"
"a·financial·",2,8.2305,0.15953,0.00052452,43.262,147,557551,2966,"F"
"an·accident·",2,8.3429,0.64084,0.0027391,363.16,147,106400,935,"U"
"of·media·",2,8.1633,0.076929,0.00026184,1.7408,134,966326,3724,"U"
"well·-·known·",3,5.7323,0.98726,0.00271,0,474,20424,23962,"T"
"NUM·North·",2,7.2018,0.042033,0.00030093,44.484,187,1001604,8595,"F"
"features·such·as·",3,-4.7037,0.54936,0.0024678,0,204,3091,205653,"T"
"a·defensive·",2,9.383,0.33879,0.00064092,214.85,182,557551,1017,"F"
"the·first·quarter·",3,3.8343,0.55246,0.00010802,0,73,1976066,1585,"U"
"on·NUM·NMONTH·",3,7.1917,0.81643,0.055874,0,3374,200123,119962,"T"
"video·games·",2,13.021,0.88053,0.066674,1431.5,445,1671,7058,"T"
"a·federal·",2,9.281,0.3034,0.00088582,192.04,247,557551,2385,"F"
"the·french·army·",3,3.0519,0.53891,0.00024237,0,161,1976066,7051,"T"
"point·for·",2,10.741,0.2579,0.0025504,211.32,218,7401,222363,"F"
"for·a·number·of·",4,9.1595,0.21105,0.00049857,0,148,222363,966326,"U"
"bin·Laden·",2,-1.4021,1,0.0053908,11.5,131,370,1,"T"
"the·pair·",2,10.128,0.34016,0.0003378,167.93,334,1976066,1420,"T"
"life·as·",2,9.9183,0.12853,0.0020977,49.24,155,14585,205653,"F"
"the·merger·",2,9.8532,0.51689,0.00034704,414.19,173,1976066,663,"T"
"perceived·as·",2,11.724,0.63653,0.0019576,496.8,226,720,205653,"T"
"on·NUM·NMONTH·NUM·on·NUM·NMONTH·NUM·",8,9.9644,0.00090796,0.0000068868,0,158,200123,1001604,"F"
"played·against·",2,5.9414,0.10163,0.0031473,49.276,81,3751,20471,"U"
"the·common·",2,11.925,0.15601,0.000902,65.154,677,1976066,8418,"U"
"NUM·cubic·",2,7.1062,0.67541,0.00025751,206.9,129,1001604,291,"U"
"the·navy·",2,8.049,0.36104,0.0001366,72.388,135,1976066,554,"T"
"place·finish·",2,9.7164,0.88079,0.023977,610.08,128,9755,505,"F"
"a·maximum·",2,10.734,0.51583,0.001256,535.7,267,557551,1378,"F"
"was·greatly·",2,8.0077,0.42335,0.00092573,153.5,134,287981,1521,"F"
"or·NUM·",2,16.713,0.15207,0.005676,1.7826,841,86142,1001604,"F"
"the·possible·",2,8.3959,0.057957,0.00024728,30.013,245,1976066,5527,"F"
"Main·Line·",2,11.126,0.93526,0.13472,1096.9,168,621,1873,"T"
"soon·followed·",2,9.1622,0.76817,0.015224,195.59,90,4764,2987,"F"
"roughly·NUM·",2,11.374,0.59558,0.0012002,863.1,516,1583,1001604,"T"
"was·aware·of·",3,7.7696,0.29485,0.00015777,0,66,287981,966326,"U"
"defeat·at·",2,11.385,0.46278,0.0039672,553.27,125,1871,125676,"F"
"a·radical·",2,8.2506,0.37299,0.00048346,141.75,135,557551,921,"F"
"NUM·people·were·killed·",4,1.2581,0.72569,0.00035165,0,98,1001604,3257,"T"
"in·NMONTH·NUM·as·",4,17.9,0.070206,0.00055871,0,239,741837,205653,"F"
"the·historical·",2,11.693,0.18737,0.00057888,143.19,407,1976066,3613,"F"
"several·weeks·",2,7.9098,0.8636,0.014301,432.9,141,17086,2633,"T"
"Jay·-·Z·",3,10.256,1,0.0013604,0,173,588,693,"U"
"by·a·single·",3,-0.50322,0.24734,0.00063254,0,161,197397,8643,"F"
"is·a·retired·",3,4.1428,0.89495,0.00049638,0,124,270267,172,"F"
"of·service·",2,10.585,0.092454,0.00066709,5.3124,265,966326,8053,"U"
"by·William·",2,12.126,0.32185,0.0037887,519.76,383,197397,4781,"U"
"railway·station·",2,13.007,0.85238,0.13999,2922.9,456,2035,5494,"T"
"he·died·at·",3,-1.3612,0.22975,0.0015915,0,146,142682,125676,"U"
"the·Continental·",2,8.3156,0.49733,0.0001619,125.31,161,1976066,481,"F"
"album·with·",2,9.6126,0.095877,0.001662,33.953,169,11880,193898,"U"
"of·a·small·",3,-6.1696,0.073469,0.00032459,0,166,966326,10357,"F"
"was·released·as·",3,-5.3009,0.28467,0.0017508,0,71,287981,205653,"U"
"k·-·NUM·",3,17.817,0.54443,0.00028419,0,138,1049,1001604,"F"
"early·NMONTH·",2,11.048,0.34943,0.009273,747.07,153,15701,119962,"T"
"extensive·use·of·",3,7.0502,0.80303,0.00024498,0,80,1764,966326,"T"
"a·cell·",2,8.422,0.15707,0.00057844,69.971,160,557551,2575,"T"
"of·blood·",2,9.5873,0.17958,0.00041703,56.73,203,966326,2423,"U"
"in·this·context·",3,13.15,0.7367,0.00052587,0,145,741837,1410,"T"
"can·provide·",2,8.0127,0.54056,0.0076787,321.06,139,32947,3257,"F"
"in·NUM·with·",3,8.8137,0.073768,0.0029035,0,872,741837,193898,"F"
"of·the·individual·",3,7.5291,0.10667,0.000097785,0,189,966326,1137,"T"
"her·father·",2,0,0,0,1.7372,581,0,7200,"T"
"in·battle·",2,9.0587,0.1185,0.00084063,75.94,314,741837,5224,"T"
"to·prevent·",2,13.141,0.86356,0.0052984,4357.4,953,590991,2016,"U"
"made·NUM·appearances·",3,8.2187,0.42844,0.00033118,0,126,11181,1755,"T"
"of·his·son·",3,0,0,0,0,124,966326,7937,"U"
"a·daughter·",2,11.466,0.34411,0.001923,518.5,201,557551,4068,"T"
"playing·for·",2,9.3377,0.36142,0.00057382,88.907,211,3882,222363,"T"
"an·f·",2,6.688,0.37428,0.0012341,73.225,66,106400,2183,"U"
"natural·history·",2,8.9924,0.75716,0.013978,379.7,140,4499,15819,"T"
"for·a·long·time·",4,-1.078,0.68668,0.00086805,0,179,222363,36554,"T"
"to·ensure·that·",3,3.703,0.80713,0.0013197,0,246,590991,110356,"T"
"of·the·United·Kingdom·",4,4.2651,0.41605,0.0004933,0,358,966326,4320,"U"
"forces·during·",2,7.4775,0.24418,0.003088,66.954,67,7197,36197,"F"
"a·huge·",2,11.803,0.80293,0.0020511,1261,514,557551,1167,"F"
"in·the·case·of·",4,10.214,0.49874,0.00089739,0,511,741837,966326,"T"
"for·instance·",2,13.297,0.95937,0.011519,4729.6,870,222363,1612,"T"
"the·smaller·",2,10.057,0.16582,0.00040823,55.876,401,1976066,3211,"U"
"rugby·union·",2,10.123,0.98099,0.16805,1493.6,220,673,1981,"T"
"the·tour·",2,11.319,0.22558,0.00049022,161.57,331,1976066,2652,"T"
"its·headquarters·",2,0,0,0,1.7372,131,0,1574,"T"
"came·to·an·end·",4,7.5756,0.90206,0.000831,0,149,7855,11962,"T"
"with·New·",2,7.0255,0.043832,0.0008461,7.7693,90,193898,18843,"F"
"NUM·minutes·",2,13.208,0.90905,0.0042183,5081.9,331,1001604,2592,"T"
"the·offer·",2,10.391,0.30981,0.00020537,102.75,203,1976066,863,"T"
"a·poor·",2,9.1417,0.32786,0.00086468,198.49,242,557551,2191,"U"
"the·West·Coast·",3,12.186,0.61206,0.0001906,0,127,1976066,1262,"T"
"for·military·",2,9.5347,0.16597,0.0016635,69.59,195,222363,8469,"F"
"the·flowers·",2,8.533,0.23356,0.00014164,43.022,138,1976066,811,"T"
"cars·are·",2,7.2458,0.32107,0.0011464,72.807,62,1826,106340,"F"
"was·demolished·",2,7.5288,0.65713,0.00087406,315.16,126,287981,328,"T"
"is·a·form·of·",4,0.91707,0.21195,0.00035728,0,161,270267,966326,"T"
"things·that·",2,7.9084,0.197,0.0012076,71.176,179,2268,110356,"F"
"in·Singapore·",2,9.2663,0.39954,0.00066489,284.59,247,741837,1141,"T"
"would·often·",2,7.7213,0.48925,0.0050591,115.37,117,31986,14267,"U"
"crew·members·",2,9.527,0.89644,0.022172,486.82,128,1817,9729,"T"
"second·book·",2,6.5655,0.54186,0.0054663,103.7,67,16821,7693,"T"
"NUM·England·",2,3.3261,0.011874,0.000091257,101.77,68,1001604,6540,"U"
"was·mostly·",2,8.2793,0.26938,0.0009678,82.192,141,287981,3402,"F"
"the·side·",2,12.335,0.11435,0.00073803,32.752,310,1976066,7595,"T"
"the·fuel·",2,9.5561,0.15584,0.00022143,18.585,217,1976066,2022,"T"
"match·between·",2,9.8249,0.55375,0.0097881,365.63,168,4826,28684,"U"
"the·Dead·Sea·",3,8.8723,0.85106,0.00013034,0,86,1976066,2774,"U"
"NUM·times·",2,14.893,0.65762,0.0055049,3972.2,844,1001604,7316,"T"
"NUM·per·year·",3,-5.2591,0.21753,0.00037479,0,130,1001604,24286,"T"
"of·italian·",2,8.95,0.11423,0.00044113,19.752,212,966326,3912,"U"
"the·topic·",2,8.2005,0.48475,0.00015886,120.72,157,1976066,480,"T"
"privately·owned·",2,10.714,0.92131,0.10489,868.71,134,442,2094,"T"
"the·City·",2,13.069,0.18568,0.001039,118.07,188,1976066,8629,"U"
"for·a·NUM·",3,-8.1228,0.02116,0.00082177,0,240,222363,1001604,"F"
"Microsoft·windows·",2,11.693,0.57685,0.10409,1477,286,1798,3428,"T"
"the·NUM·-·year·",4,12.158,0.12186,0.00055822,0,228,1976066,24286,"U"
"the·service·",2,12.24,0.10942,0.00070661,15.768,533,1976066,8053,"T"
"came·under·",2,10.545,0.72596,0.022707,918.3,217,7855,22620,"U"
"the·swiss·",2,9.7403,0.39863,0.00030149,264.36,270,1976066,793,"U"
"over·a·NUM·",3,-5.3017,0.070178,0.00059639,0,223,25381,1001604,"T"
"the·same·name·",3,4.0956,0.81077,0.00083943,0,156,1976066,16374,"T"
"a·sign·",2,10.694,0.43805,0.0010165,409.07,127,557551,1225,"T"
"this·species·",2,11.287,0.64649,0.0052271,463.33,185,83950,2905,"T"
"emphasis·on·",2,11.583,0.80951,0.0053754,1891,310,794,200123,"U"
"NUM·straight·",2,8.1856,0.33832,0.0002334,58.771,139,1001604,952,"F"
"TV·show·",2,10.609,0.56038,0.033342,505.33,154,2543,4895,"T"
"to·communicate·",2,9.6451,0.79449,0.00080831,597.95,144,590991,369,"T"
"of·artists·",2,8.5637,0.10815,0.00028697,15.781,139,966326,2422,"F"
"Music·awards·",2,8.6828,0.4327,0.029307,326.23,280,2275,3048,"T"
"again·for·",2,9.0811,0.11721,0.0012855,38.671,148,7905,222363,"F"
"Organization·for·",2,7.8049,0.40805,0.0007528,126.09,84,803,222363,"F"
"on·a·number·of·",4,9.0387,0.17249,0.00033279,0,145,200123,966326,"U"
"in·Game·NUM·",3,9.2375,0.29818,0.00027856,0,162,741837,1001604,"U"
"a·grand·",2,8.9942,0.47756,0.00068409,269.84,191,557551,852,"U"
"an·easy·",2,8.3625,0.71601,0.002478,315.08,134,106400,946,"F"
"best·known·for·",3,-4.6548,0.90144,0.0064079,0,145,2274,222363,"T"
"Harry·Potter·",2,12.246,0.9798,0.29883,2281.8,134,1517,444,"T"
"a·sound·",2,8.8526,0.24682,0.00030435,54.026,154,557551,1008,"U"
"her·sister·",2,0,0,0,1.7372,297,0,1869,"T"
"the·correct·",2,10.406,0.48243,0.00033285,312.23,328,1976066,819,"U"
"the·education·",2,7.5656,0.045819,0.0001615,75.69,157,1976066,5377,"U"
"on·the·album·",3,3.7209,0.20871,0.00046342,0,336,200123,11880,"T"
"extra·time·",2,9.6904,0.72472,0.010945,685.94,142,1453,36554,"T"
"score·of·NUM·",3,-4.6196,0.62307,0.00053919,0,175,1705,1001604,"U"
"NUM·at·",2,17.541,0.10046,0.0090395,38.595,446,1001604,125676,"F"
